profile_id,profile_picture,friend_count,post_count,account_age_days,likes_per_post,comments_per_post,shared_links,about_section,suspicious_activity
P00041,0,2841,806,2665,18.48,9.12,54,0,0
P00042,1,4690,9,772,28.75,14.75,35,1,0
P00043,0,2154,201,2912,13.52,18.32,61,1,0
P00044,1,580,915,2573,8.65,13.6,14,0,0
P00045,0,2853,256,1615,14.8,4.19,53,1,0
P00046,1,2236,261,887,12.34,16.4,60,1,0
P00047,0,4176,692,3577,22.42,19.03,96,0,0
P00048,1,2155,429,2719,37.33,8.21,53,1,0
P00049,1,1344,506,2225,27.71,13.95,68,1,0
P00050,0,345,65,3618,30.46,10.36,28,1,0
P00051,1,1886,805,2306,23.5,2.24,80,0,0
P00052,1,554,672,259,16.24,7.0,26,0,0
P00053,1,3770,578,3206,7.18,3.28,80,1,0
P00054,1,4397,611,3532,17.73,13.47,67,0,0
P00055,1,199,588,1512,33.26,11.64,11,0,0
P00056,1,2940,34,642,36.69,0.67,22,0,0
P00057,0,3490,974,2128,23.46,1.23,49,0,0
P00058,0,306,556,3438,32.25,5.22,74,0,0
P00059,0,3075,661,1082,10.53,14.9,99,0,0
P00060,0,1656,490,3145,43.0,2.54,75,0,0
P00061,0,2692,579,1262,43.3,4.1,72,0,0
P00062,0,1764,253,2176,16.02,18.15,87,0,0
P00063,1,275,16,411,27.39,10.92,81,0,0
P00064,0,3361,260,2362,30.33,12.42,26,0,0
P00065,0,1401,724,3445,23.62,9.12,58,0,0
P00066,1,4733,824,3508,45.56,6.0,8,0,0
P00067,0,1775,255,3209,36.99,4.98,32,0,0
P00068,1,3381,727,2502,33.63,11.78,69,0,0
P00069,0,4050,862,614,26.0,9.42,50,1,0
P00070,1,3460,423,898,4.24,8.06,96,1,0
P00071,1,1880,500,2950,5.39,13.89,39,0,0
P00072,0,3835,285,3080,14.95,8.08,5,0,0
P00073,0,4278,937,231,10.58,0.73,3,1,0
P00074,1,1844,6,2658,47.63,16.79,2,0,0
P00075,1,3377,496,729,20.49,6.37,12,0,0
P00076,1,71,891,3012,43.83,18.93,25,0,0
P00077,1,1676,198,1420,40.9,17.59,33,0,0
P00078,0,1295,602,1772,40.63,4.68,76,0,0
P00079,0,1043,983,1703,10.79,19.31,52,0,0
P00080,0,2625,658,2929,22.37,17.07,46,0,0
P00081,1,3042,936,1597,15.9,19.7,7,0,0
P00082,1,814,417,317,48.52,13.56,75,0,0
P00083,0,2194,661,1530,43.84,18.61,7,0,0
P00084,0,3500,51,2569,12.5,13.8,18,0,0
P00085,0,309,242,1110,15.68,17.1,73,0,0
P00086,0,2061,218,715,26.45,12.21,31,0,0
P00087,1,4227,517,1341,13.93,18.58,20,0,0
P00088,1,1877,969,3404,41.23,10.36,63,0,0
P00089,1,2802,108,3431,40.96,14.73,22,1,0
P00090,1,2486,350,3312,36.22,18.34,90,0,0
P00091,0,4835,920,3127,34.47,8.45,88,1,0
P00092,1,3745,65,1133,27.37,0.53,70,0,0
P00093,1,794,9,3120,17.36,2.26,41,0,0
P00094,1,4014,201,1778,41.85,19.44,34,0,0
P00095,1,4353,793,3087,42.94,17.46,1,0,0
P00096,1,3407,900,1096,2.48,9.67,91,0,0
P00097,1,2456,213,2931,19.93,19.22,70,1,0
P00098,1,1851,67,201,1.33,3.71,75,0,0
P00099,0,974,758,2140,41.97,2.22,51,0,0
P00100,0,1047,865,1672,8.85,12.03,16,0,0
P00101,0,4366,326,1056,33.69,7.64,85,0,0
P00102,1,4237,49,418,17.87,6.8,8,0,0
P00103,0,3789,16,3274,40.8,14.68,51,0,0
P00104,1,4997,522,2598,25.48,3.0,2,0,0
P00105,1,3021,820,625,16.22,15.57,21,1,0
P00106,0,4369,305,844,16.19,7.19,53,0,0
P00107,1,4029,391,1878,16.35,19.73,35,0,0
P00108,1,464,987,1944,39.43,16.17,38,0,0
P00109,0,287,123,2929,35.56,12.92,17,0,0
P00110,0,3195,503,2767,15.96,4.59,80,0,0
P00111,0,875,224,3383,24.51,19.13,26,1,0
P00112,0,1992,755,2991,3.81,0.66,98,0,0
P00113,1,2925,317,3540,41.38,4.47,95,0,0
P00114,1,1120,472,393,13.3,0.74,66,0,0
P00115,1,446,980,2856,44.46,19.33,12,1,0
P00116,1,2832,843,2919,29.84,17.43,16,0,0
P00117,1,3568,890,3282,28.39,19.04,60,0,0
P00118,0,2896,857,2914,8.14,14.3,17,0,0
P00119,1,721,540,2618,3.48,0.55,16,0,0
P00120,1,2163,357,3227,27.63,18.63,55,0,0
P00121,1,2582,482,2681,23.4,8.42,47,0,0
P00122,1,1351,868,631,5.98,7.36,15,0,0
P00123,0,3980,877,2856,41.78,5.68,85,0,0
P00124,0,4502,939,321,20.86,5.74,24,0,0
P00125,0,3384,876,3506,13.02,16.01,64,0,0
P00126,1,1725,428,573,39.41,5.13,26,1,0
P00127,1,693,796,1693,45.65,4.44,13,0,0
P00128,1,3413,496,1063,15.3,13.96,91,1,0
P00129,0,494,471,3111,38.8,5.75,99,1,0
P00130,1,947,570,1476,32.63,0.26,49,0,0
P00131,1,22,654,2917,49.49,18.64,95,0,0
P00132,0,1128,837,3261,10.2,6.27,28,0,0
P00133,0,557,863,2793,48.03,15.29,80,1,0
P00134,0,1616,299,3086,15.76,9.38,27,1,0
P00135,1,3730,737,1147,20.6,2.68,20,0,0
P00136,0,1656,675,3351,17.94,13.24,23,0,0
P00137,1,4173,83,2984,13.42,4.63,45,1,0
P00138,1,806,376,958,34.66,5.76,59,0,0
P00139,0,3312,312,47,29.46,0.65,98,1,0
P00140,1,4863,628,2236,15.28,0.33,19,0,0
P00141,1,453,319,2351,6.61,10.27,51,1,0
P00142,0,2975,203,1582,15.87,1.16,21,0,0
P00143,1,2324,354,3176,19.06,4.19,67,0,0
P00144,0,1447,293,2416,19.03,18.48,15,0,0
P00145,0,2561,503,3572,17.86,1.66,20,1,0
P00146,0,2511,144,459,2.44,5.82,43,0,0
P00147,1,2871,538,2294,23.2,14.53,61,0,0
P00148,1,362,16,2311,41.81,17.69,20,1,0
P00149,0,3454,574,1229,9.02,0.92,10,1,0
P00150,0,2798,778,1530,7.28,3.71,59,0,0
P00151,1,4620,575,529,23.59,7.76,36,0,0
P00152,0,3453,38,1387,18.53,7.22,43,0,0
P00153,0,3255,129,2797,28.06,5.77,21,1,0
P00154,1,1217,114,1363,47.35,4.85,83,0,0
P00155,1,1485,449,406,38.04,5.37,65,0,0
P00156,0,2103,949,452,34.35,2.67,42,0,0
P00157,1,2536,924,1900,20.8,3.27,74,0,0
P00158,1,1855,44,813,14.37,12.14,20,0,0
P00159,0,4817,215,577,27.01,5.84,32,0,0
P00160,1,1207,599,3012,44.27,7.99,16,0,0
P00161,0,1448,847,3221,43.84,8.24,35,1,0
P00162,1,1507,414,3264,22.28,2.19,13,0,0
P00163,1,1003,688,1931,12.31,16.39,36,0,0
P00164,1,925,264,146,11.27,19.13,30,0,0
P00165,0,4951,922,405,1.7,5.27,3,1,0
P00166,1,83,439,182,42.13,5.89,5,1,0
P00167,0,3742,616,3177,13.24,13.86,49,0,0
P00168,0,3927,380,235,17.95,1.61,84,1,0
P00169,0,1542,845,637,40.46,18.15,76,0,0
P00170,1,985,300,3005,6.0,2.41,37,1,0
P00171,1,4231,984,178,23.06,14.64,78,0,0
P00172,0,908,170,2479,6.12,5.83,4,0,0
P00173,1,2908,619,3472,22.09,6.47,37,0,0
P00174,0,4685,405,524,2.36,2.82,23,1,0
P00175,1,2737,354,2790,25.88,12.93,17,1,0
P00176,0,2586,160,1563,39.79,15.9,92,0,0
P00177,1,1143,794,1914,33.81,19.0,31,1,0
P00178,0,1331,551,2370,25.46,6.63,70,0,0
P00179,1,3348,25,1284,41.44,12.42,93,0,0
P00180,0,1553,82,1635,11.39,8.3,89,1,0
P00181,0,2342,172,1723,41.54,11.16,71,0,0
P00182,0,1806,998,2446,13.82,3.26,88,0,0
P00183,1,2100,684,336,18.12,11.64,29,1,0
P00184,1,805,793,3371,6.42,16.98,87,0,0
P00185,0,4147,69,118,5.09,17.27,29,1,0
P00186,1,2775,834,1581,46.61,9.67,4,1,0
P00187,1,71,5,2460,9.5,4.71,3,0,0
P00188,1,27,795,579,16.66,16.73,50,1,0
P00189,1,468,194,3455,26.46,19.99,8,0,0
P00190,0,3983,524,3551,17.39,7.54,54,0,0
P00191,0,763,62,2352,43.51,18.49,32,0,0
P00192,1,1424,12,195,45.04,19.67,92,0,0
P00193,1,2248,760,332,16.3,7.91,30,1,0
P00194,1,3832,204,3091,4.6,14.33,82,0,0
P00195,0,4915,896,622,10.51,11.62,53,0,0
P00196,0,4060,764,657,23.72,14.44,60,1,0
P00197,1,4070,39,703,14.42,3.08,65,0,0
P00198,1,1675,164,1456,22.67,7.33,19,0,0
P00199,1,559,30,882,37.94,1.26,75,1,0
P00200,1,4474,528,1449,21.03,12.26,84,0,0
P00201,1,3831,648,1252,9.85,18.53,60,1,0
P00202,0,1918,876,523,17.9,11.21,94,0,0
P00203,0,78,831,2264,37.15,1.41,35,0,0
P00204,1,4929,824,989,21.2,18.61,83,0,0
P00205,1,3647,908,2422,12.48,2.66,19,1,0
P00206,0,1031,676,35,21.37,17.66,44,0,0
P00207,0,2072,397,775,22.74,14.28,99,1,0
P00208,1,4545,458,27,14.82,12.73,45,0,0
P00209,0,1484,792,3443,49.78,11.74,17,0,0
P00210,0,2245,222,85,38.38,2.62,69,0,0
P00211,1,1550,633,2235,34.62,10.02,96,1,0
P00212,1,4785,77,2352,42.74,3.93,73,1,0
P00213,1,4682,824,2813,33.32,11.44,17,1,0
P00214,0,1829,838,3493,39.55,8.95,63,0,0
P00215,1,3751,599,2127,20.63,13.59,33,0,0
P00216,0,4722,624,185,25.02,19.65,78,1,0
P00217,0,2031,611,1028,2.35,7.22,2,0,0
P00218,1,4459,937,557,14.03,12.33,71,1,0
P00219,1,3856,937,3568,18.4,17.29,10,1,0
P00220,1,2182,814,2556,31.27,1.86,45,0,0
P00221,1,4469,883,1637,23.21,16.0,95,0,0
P00222,1,2094,427,970,30.39,4.79,41,1,0
P00223,0,3903,424,1025,35.67,10.81,16,1,0
P00224,0,3032,386,216,2.14,19.83,46,0,0
P00225,0,1548,238,3608,12.91,19.68,29,1,0
P00226,0,367,857,256,8.55,6.32,42,1,0
P00227,1,64,622,1476,9.37,2.64,7,0,0
P00228,0,3299,89,1447,25.16,18.76,39,0,0
P00229,1,4849,384,323,37.0,17.87,70,0,0
P00230,1,2035,974,3570,13.64,12.32,19,0,0
P00231,1,2863,138,1604,41.22,0.65,75,0,0
P00232,1,1876,996,2244,44.62,15.03,84,0,0
P00233,1,4851,646,503,17.53,3.22,27,0,0
P00234,1,2228,523,3343,34.07,18.86,27,0,0
P00235,0,596,243,693,5.85,8.7,58,1,0
P00236,1,3606,504,958,37.2,12.3,61,1,0
P00237,0,2674,421,2065,8.25,5.62,79,0,0
P00238,0,3889,181,2154,34.37,9.5,73,0,0
P00239,1,3506,194,3600,21.1,15.09,53,1,0
P00240,0,1834,873,124,46.42,9.84,85,0,0
P00241,1,1395,633,482,23.22,16.94,6,0,0
P00242,1,1586,52,3075,1.55,14.26,67,0,0
P00243,1,111,985,2674,24.03,1.55,23,0,0
P00244,0,452,989,2398,39.77,12.14,97,1,0
P00245,0,2803,927,350,32.35,12.25,40,0,0
P00246,1,2631,867,648,48.32,7.62,53,1,0
P00247,1,2186,684,2948,42.16,6.45,13,0,0
P00248,1,4348,178,227,26.33,1.26,43,0,0
P00249,1,2004,292,2063,10.33,8.92,48,0,0
P00250,1,1459,374,1833,0.19,6.73,62,1,0
P00251,0,1942,58,424,49.03,19.02,80,1,0
P00252,0,3493,53,2511,46.92,13.48,44,0,0
P00253,1,1857,913,723,13.71,9.2,71,0,0
P00254,0,61,768,3317,31.91,15.09,76,0,0
P00255,0,1494,244,1821,36.46,15.58,6,0,0
P00256,1,1180,148,793,28.9,9.61,2,1,0
P00257,1,4901,795,176,42.15,1.52,87,0,0
P00258,1,2788,367,2590,3.89,15.61,46,0,0
P00259,1,1875,15,2556,44.82,1.81,87,0,0
P00260,0,2208,175,1585,19.6,16.95,60,0,0
P00261,1,4636,539,1678,24.03,6.68,70,1,0
P00262,1,4721,405,563,22.24,12.76,29,1,0
P00263,0,105,466,2280,26.56,14.81,4,1,0
P00264,1,1154,879,3109,29.91,0.7,84,0,0
P00265,1,3428,128,2538,35.52,7.69,71,0,0
P00266,1,4087,222,1016,26.25,12.08,6,1,0
P00267,1,1708,883,443,34.24,16.96,38,0,0
P00268,1,2823,243,2067,16.91,14.36,1,1,0
P00269,0,3925,425,3627,46.83,17.92,42,0,0
P00270,0,1908,353,110,3.23,1.65,11,0,0
P00271,1,2049,749,2534,27.28,1.44,27,1,0
P00272,1,4464,743,88,4.37,14.27,18,0,0
P00273,1,1274,325,3390,22.14,7.97,27,0,0
P00274,1,945,603,1141,12.88,9.63,98,0,0
P00275,1,3904,2,2481,46.85,12.09,75,0,0
P00276,1,2227,478,1941,0.65,19.72,91,0,0
P00277,1,3796,975,3310,19.56,1.34,89,0,0
P00278,1,292,80,71,39.1,2.18,69,0,0
P00279,1,4679,43,821,9.42,16.59,18,0,0
P00280,1,2222,154,3470,40.78,0.41,63,1,0
P00281,1,3973,946,815,42.99,9.01,90,1,0
P00282,0,2491,535,403,35.4,15.48,8,1,0
P00283,0,2475,915,1698,10.45,3.91,40,0,0
P00284,0,4860,927,250,13.6,3.74,49,0,0
P00285,1,3729,98,2916,8.35,6.21,9,1,0
P00286,0,427,396,3266,9.2,3.0,73,0,0
P00287,1,2972,879,2042,1.82,13.57,96,0,0
P00288,1,106,170,1595,42.87,4.0,81,0,0
P00289,0,3619,147,1633,26.43,4.54,53,0,0
P00290,1,4754,122,1953,16.39,11.5,9,1,0
P00291,0,3333,111,867,14.48,19.35,6,1,0
P00292,0,3992,129,1890,27.23,18.28,31,1,0
P00293,1,1225,67,3293,16.33,17.29,53,0,0
P00294,0,4004,858,3253,43.19,10.62,69,0,0
P00295,0,4250,827,895,10.55,5.96,82,1,0
P00296,1,3368,728,255,44.12,14.12,62,0,0
P00297,1,895,899,1931,33.2,7.79,33,0,0
P00298,0,3905,891,1111,47.83,15.56,42,1,0
P00299,1,1620,607,872,0.76,0.32,4,0,0
P00300,0,3863,656,491,2.95,10.59,18,0,0
P00301,0,2292,896,2383,25.04,6.75,53,0,0
P00302,1,1385,544,1561,45.62,4.98,13,1,0
P00303,1,3899,285,1430,36.54,13.24,9,1,0
P00304,1,3592,4,632,31.11,13.17,48,1,0
P00305,1,2433,117,1312,1.58,0.74,10,0,0
P00306,1,2806,651,361,17.71,18.95,30,0,0
P00307,1,3383,229,1464,17.29,7.24,65,0,0
P00308,0,1301,159,3101,27.1,18.35,9,0,0
P00309,1,758,293,918,12.89,11.67,20,0,0
P00310,0,746,760,893,13.36,13.05,0,0,0
P00311,1,592,784,3619,31.04,19.21,45,0,0
P00312,0,2886,185,2684,47.23,16.44,94,1,0
P00313,0,4111,876,1246,33.01,2.8,74,1,0
P00314,1,1068,551,746,33.41,0.1,73,0,0
P00315,1,3307,223,1147,49.31,6.17,19,0,0
P00316,1,702,151,2730,7.67,9.77,20,1,0
P00317,1,4708,139,1002,1.69,14.64,36,1,0
P00318,0,104,366,2021,37.28,13.22,13,0,0
P00319,0,1497,127,1006,21.94,6.26,57,0,0
P00320,0,3833,350,2740,21.44,10.84,56,0,0
P00321,1,395,146,214,11.27,13.02,56,1,0
P00322,1,3517,284,2165,25.34,10.28,68,1,0
P00323,1,2653,468,226,22.11,13.78,69,1,0
P00324,0,3291,217,890,17.27,9.7,23,1,0
P00325,1,2010,435,2491,22.14,10.59,79,0,0
P00326,1,3881,731,2596,19.19,18.82,59,0,0
P00327,1,4946,144,2876,46.99,7.78,22,0,0
P00328,1,1988,840,1631,49.01,15.11,46,0,0
P00329,1,4537,276,2026,42.0,6.69,37,1,0
P00330,0,1668,753,1460,49.52,6.64,79,1,0
P00331,0,4968,59,11,13.29,18.53,51,0,0
P00332,1,4762,609,1145,42.15,13.97,12,0,0
P00333,0,1051,842,3618,20.33,18.58,7,0,0
P00334,0,2841,374,2536,37.31,19.89,31,0,0
P00335,0,4723,403,3322,10.07,0.0,85,1,0
P00336,0,3584,880,2626,40.6,19.66,16,0,0
P00337,1,347,692,3553,4.17,2.02,4,0,0
P00338,1,1263,113,1573,13.53,1.41,71,0,0
P00339,1,4665,494,1303,41.1,15.36,49,0,0
P00340,0,2742,614,741,37.36,7.0,93,1,0
P00341,1,2073,335,1360,25.06,18.36,82,0,0
P00342,1,3148,830,2215,33.64,10.89,11,0,0
P00343,0,1351,568,3008,9.28,7.72,88,0,0
P00344,1,2821,284,1976,33.39,1.47,43,0,0
P00345,0,3827,128,3399,0.4,9.29,76,0,0
P00346,1,669,891,3317,41.66,5.56,67,0,0
P00347,1,4813,977,1324,25.81,1.53,58,0,0
P00348,0,2646,314,2247,47.19,13.41,9,1,0
P00349,0,266,959,1916,23.91,19.55,47,0,0
P00350,1,1438,597,3571,21.65,7.58,27,0,0
P00351,1,2693,711,2911,22.5,5.95,4,1,0
P00352,1,1022,70,2801,17.99,1.8,91,1,0
P00353,1,2037,344,3084,8.33,4.46,43,0,0
P00354,0,564,989,1389,42.1,5.7,30,1,0
P00355,0,1059,97,1742,19.45,6.88,15,0,0
P00356,1,1424,299,773,26.46,12.68,22,0,0
P00357,0,4123,175,2144,0.99,2.3,92,0,0
P00358,1,219,744,2118,3.01,1.17,20,0,0
P00359,1,405,883,992,29.86,18.61,1,0,0
P00360,1,1637,74,1838,43.96,15.98,22,0,0
P00361,0,2318,142,1884,24.67,5.56,79,1,0
P00362,1,1759,930,2404,8.25,12.78,10,0,0
P00363,1,1674,22,811,5.81,11.85,72,0,0
P00364,1,791,180,2591,44.99,14.86,1,1,0
P00365,1,3582,44,3321,35.08,17.19,81,0,0
P00366,0,1309,468,2301,48.31,7.16,12,0,0
P00367,1,3833,91,3253,4.12,13.22,44,1,0
P00368,1,4929,268,1875,45.13,16.04,71,0,0
P00369,0,4412,33,3035,42.28,13.99,9,0,0
P00370,0,1330,677,3237,44.66,18.44,90,1,0
P00371,0,4446,581,3,0.29,9.89,80,0,0
P00372,0,510,363,1486,37.1,16.05,87,0,0
P00373,0,2572,707,2192,27.45,18.19,20,0,0
P00374,1,3929,132,164,28.66,11.14,0,1,0
P00375,0,491,758,343,23.46,0.35,15,0,0
P00376,0,1617,381,1897,37.13,16.36,42,0,0
P00377,1,2056,679,1128,49.99,16.92,96,0,0
P00378,0,1520,965,3619,35.53,8.0,5,0,0
P00379,1,1583,276,1337,33.9,4.58,75,1,0
P00380,0,1575,155,3240,32.72,19.56,95,0,0
P00381,0,3946,386,2567,34.76,11.03,10,1,0
P00382,1,1761,534,2973,17.11,10.32,81,0,0
P00383,1,1991,199,1621,16.01,18.92,65,0,0
P00384,1,3179,274,3507,39.22,8.16,95,0,0
P00385,1,3326,500,2656,2.65,16.96,48,0,0
P00386,1,1046,458,2559,37.96,14.01,19,0,0
P00387,0,2892,49,2456,40.69,19.35,20,1,0
P00388,0,2613,969,2483,26.08,8.57,35,1,0
P00389,1,3892,697,1338,45.51,18.15,37,0,0
P00390,1,4144,987,541,23.65,11.38,55,0,0
P00391,1,461,531,612,8.9,9.52,90,1,0
P00392,1,4431,627,899,18.07,6.11,10,1,0
P00393,0,1381,91,1884,45.29,11.05,17,0,0
P00394,1,1145,860,3134,49.69,11.45,80,1,0
P00395,0,3515,455,1055,21.09,17.97,97,1,0
P00396,1,4454,338,1622,8.34,14.08,44,0,0
P00397,1,192,52,3282,14.32,16.53,25,1,0
P00398,1,3534,495,1486,27.66,15.38,58,0,0
P00399,1,755,634,2610,28.6,5.53,5,0,0
P00400,1,1684,852,2622,31.5,4.12,42,0,0
P00401,0,2525,849,3151,41.77,5.17,93,0,0
P00402,1,827,776,3069,35.56,2.93,51,0,0
P00403,1,889,3,2390,13.04,7.72,61,1,0
P00404,1,4748,680,1255,19.75,13.08,95,0,0
P00405,0,2455,280,2660,41.99,10.74,16,0,0
P00406,1,2333,289,128,31.67,13.58,76,0,0
P00407,0,4946,72,1042,8.32,7.12,45,1,0
P00408,0,110,136,356,16.28,4.11,40,1,0
P00409,1,4715,849,1442,39.55,4.06,12,0,0
P00410,0,792,767,3006,8.6,12.02,5,0,0
P00411,0,4683,970,80,34.55,3.29,85,0,0
P00412,1,2643,652,1904,28.18,7.94,96,0,0
P00413,1,3414,997,2713,7.37,4.26,32,0,0
P00414,1,1309,392,2828,34.44,13.26,3,0,0
P00415,1,296,207,1141,7.12,12.31,77,1,0
P00416,1,1629,259,1877,19.92,7.62,49,1,0
P00417,0,568,929,3565,15.43,2.57,47,0,0
P00418,0,4927,262,790,34.5,4.24,98,0,0
P00419,1,4705,782,2539,39.12,9.44,26,1,0
P00420,1,4111,504,1898,8.42,19.44,5,0,0
P00421,1,71,549,224,40.6,5.42,57,0,0
P00422,1,4365,202,3034,0.36,3.82,62,0,0
P00423,0,4382,735,2466,26.5,4.41,0,0,0
P00424,1,65,346,779,25.84,14.16,27,1,0
P00425,0,879,989,136,31.19,18.29,28,0,0
P00426,1,67,51,225,11.99,1.5,95,0,0
P00427,1,1216,592,3405,0.49,14.99,27,1,0
P00428,1,3027,355,1252,22.74,9.89,90,1,0
P00429,0,3239,722,2370,3.57,16.5,73,0,0
P00430,0,3480,518,3179,44.61,8.43,81,0,0
P00431,0,507,362,811,8.68,0.1,67,0,0
P00432,1,3714,44,2492,21.26,13.66,40,1,0
P00433,1,2884,826,1940,21.7,16.16,54,0,0
P00434,0,1125,377,6,27.64,18.04,31,1,0
P00435,0,885,788,127,39.13,11.38,68,1,0
P00436,1,2841,411,3424,23.61,2.44,21,0,0
P00437,0,3877,770,266,1.29,7.4,56,1,0
P00438,1,4870,141,2732,38.56,15.69,21,0,0
P00439,1,2525,257,927,4.11,9.89,65,1,0
P00440,0,925,796,213,32.08,13.98,40,0,0
P00441,0,4215,913,246,40.17,0.09,42,0,0
P00442,1,1938,36,1641,14.13,1.46,33,1,0
P00443,0,3814,940,1618,22.46,13.62,1,1,0
P00444,0,3362,44,1827,0.72,5.8,58,0,0
P00445,1,4583,919,3445,40.19,7.76,35,1,0
P00446,1,3232,631,420,35.16,12.84,7,1,0
P00447,1,3744,45,1738,11.57,2.24,32,1,0
P00448,1,3465,651,1064,19.51,16.65,32,0,0
P00449,0,440,564,2764,34.77,2.89,67,1,0
P00450,0,3611,300,1371,17.91,14.67,17,0,0
P00451,1,461,287,3632,8.12,5.86,63,0,0
P00452,1,611,785,142,25.93,5.2,60,0,0
P00453,1,3471,268,2188,36.18,16.43,82,1,0
P00454,1,3163,899,2612,16.04,11.04,9,0,0
P00455,0,5,790,2154,6.09,4.11,49,0,1
P00456,1,4776,61,2080,41.48,0.05,93,0,0
P00457,0,3970,565,3271,12.64,19.46,21,0,0
P00458,1,2858,969,2166,25.64,8.63,38,0,0
P00459,0,2606,950,1823,34.57,7.95,64,0,0
P00460,0,98,580,228,15.85,1.01,29,1,0
P00461,0,525,241,2735,32.43,17.89,4,0,0
P00462,1,1180,935,1987,22.99,2.81,25,1,0
P00463,1,1689,781,3256,28.52,6.71,62,0,0
P00464,1,1138,763,829,29.53,8.42,45,1,0
P00465,1,4491,353,3058,41.21,16.2,30,1,0
P00466,0,4865,795,849,32.82,7.19,40,1,0
P00467,0,3071,967,1238,13.22,10.63,11,0,0
P00468,1,2927,975,2780,2.98,8.57,16,1,0
P00469,0,2792,862,1153,0.1,6.24,17,0,0
P00470,1,4778,70,844,45.22,18.93,65,0,0
P00471,0,14,834,2319,47.11,15.94,87,0,1
P00472,1,2415,412,2682,4.71,3.49,91,0,0
P00473,0,2685,611,3079,24.35,11.09,38,0,0
P00474,1,2900,60,402,7.58,15.93,73,1,0
P00475,1,1236,614,2975,47.44,11.6,32,1,0
P00476,1,4100,451,1602,12.34,9.88,87,0,0
P00477,0,3220,392,626,25.08,1.44,74,0,0
P00478,1,1607,630,3440,8.28,2.12,7,0,0
P00479,1,3563,528,1823,16.64,4.9,90,1,0
P00480,1,3297,304,2664,13.34,10.27,25,1,0
P00481,1,2633,190,980,23.77,19.75,75,0,0
P00482,1,3890,723,2584,20.99,16.05,34,1,0
P00483,1,4264,77,1076,16.54,2.2,56,0,0
P00484,1,2808,557,2294,5.29,14.35,78,0,0
P00485,1,791,604,2384,24.22,16.21,20,0,0
P00486,1,999,888,3352,42.51,8.29,36,0,0
P00487,0,151,524,32,36.51,6.6,93,0,0
P00488,0,3063,739,798,36.03,11.69,4,0,0
P00489,1,4599,300,2595,18.3,10.38,16,0,0
P00490,1,2091,948,1366,35.42,5.3,89,0,0
P00491,1,4599,16,2938,23.28,7.95,97,0,0
P00492,1,4082,814,1262,7.51,10.89,96,0,0
P00493,0,4026,573,3563,20.95,11.6,81,1,0
P00494,0,2977,433,2776,6.64,10.63,24,0,0
P00495,1,842,42,3248,5.72,16.92,60,0,0
P00496,0,4446,67,2091,1.15,0.63,93,0,0
P00497,1,3793,379,303,14.14,6.66,36,0,0
P00498,0,2070,211,1693,16.54,15.0,83,0,0
P00499,1,1659,202,2316,34.97,13.04,65,0,0
P00500,1,597,725,2730,26.9,18.37,12,0,0
P00501,1,2513,108,2030,42.92,11.76,39,1,0
P00502,1,4135,967,1756,8.82,12.76,41,1,0
P00503,0,4270,283,399,13.3,14.1,83,1,0
P00504,1,3603,940,2650,47.05,3.72,69,1,0
